City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,mbuji-mayi,-6.15,23.6,27.840000000000032,61,87,1.95,CD,1674041917
66,north bend,43.4065,-124.2243,11.03000000000003,92,75,3.6,US,1674041917
67,mount gambier,-37.8333,140.7667,13.640000000000043,48,98,5.02,AU,1674041566
68,waingapu,-9.6567,120.2641,26.660000000000025,84,74,1.45,ID,1674041918
69,kapaa,22.0752,-159.319,21.180000000000007,84,100,3.09,US,1674041456
70,palmer,42.1584,-72.3287,5.230000000000018,78,100,0.0,US,1674041918
71,saint-augustin,51.226,-58.6502,-0.049999999999954525,100,100,1.1,CA,1674041918
72,kavieng,-2.5744,150.7967,28.220000000000027,71,99,3.37,PG,1674041498
73,avarua,-21.2078,-159.775,25.03000000000003,94,75,4.63,CK,1674041529
74,pilar,-9.5972,-35.9567,26.960000000000036,69,67,4.46,BR,1674041920
75,mataura,-46.1927,168.8643,12.050000000000011,95,38,0.28,NZ,1674041458
76,poncitlan,20.3667,-102.9167,3.9500000000000455,73,42,0.72,MX,1674041920
77,busselton,-33.65,115.3333,19.310000000000002,58,100,6.32,AU,1674041440
78,jalu,29.0331,21.5482,20.439999999999998,27,0,4.79,LY,1674041545
79,lorengau,-2.0226,147.2712,27.439999999999998,73,99,2.14,PG,1674041921
80,lihula,58.6814,23.8453,3.2700000000000387,85,81,2.64,EE,1674041921
81,mareeba,-17.0,145.4333,22.470000000000027,95,100,0.85,AU,1674041534
82,talnakh,69.4865,88.3972,-29.329999999999984,83,100,3.71,RU,1674041481
83,barrow,71.2906,-156.7887,-21.98999999999998,84,100,9.77,US,1674041451
84,petropavlovsk-kamchatskiy,53.0452,158.6483,-14.669999999999959,47,0,3.0,RU,1674041548
85,lakselv,70.0513,24.9718,-10.099999999999966,85,75,7.72,NO,1674041922
86,muroto,33.2833,134.15,10.400000000000034,61,15,3.62,JP,1674041923
87,ihosy,-22.4,46.1167,27.230000000000018,54,53,6.52,MG,1674041924
88,hilo,19.7297,-155.09,24.600000000000023,89,0,3.09,US,1674041433
89,bilara,26.1792,73.7056,20.220000000000027,19,0,3.47,IN,1674041924
90,adrar,20.5022,-10.0711,23.28000000000003,13,90,5.19,MR,1674041609
91,buala,-8.145,159.5921,26.939999999999998,83,100,4.59,SB,1674041925
92,sao filipe,14.8961,-24.4956,26.060000000000002,55,7,4.06,CV,1674041592
93,pandamatenga,-18.5278,25.627,25.670000000000016,67,96,3.64,BW,1674041925
94,anadyr,64.75,177.4833,-28.71999999999997,76,0,6.0,RU,1674041524
95,namatanai,-3.6667,152.4333,26.879999999999995,78,57,2.75,PG,1674041926
96,jasper,37.2001,-94.3502,9.379999999999995,89,100,2.57,US,1674041926
97,lensk,60.7253,114.9278,-49.349999999999966,100,73,1.07,RU,1674041926
98,bengkulu,-3.8004,102.2655,25.100000000000023,85,100,0.63,ID,1674041440
99,zhangye,38.9342,100.4517,-12.629999999999995,80,6,0.96,CN,1674041927
100,belyy yar,53.6039,91.3903,-15.060000000000002,70,75,0.0,RU,1674041489
101,cherskiy,68.75,161.3,-44.90999999999997,99,74,1.96,RU,1674041499
102,trinidad,-14.8333,-64.9,23.99000000000001,94,75,1.54,BO,1674041928
103,faanui,-16.4833,-151.75,26.600000000000023,75,29,5.25,PF,1674041582
104,oda,35.1833,132.5,4.430000000000007,70,99,4.11,JP,1674041928
105,pangnirtung,66.1451,-65.7125,-21.809999999999974,72,100,1.38,CA,1674041494
106,lakes entrance,-37.8811,147.981,14.53000000000003,80,100,7.13,AU,1674041929
107,suzun,53.7841,82.3116,-17.109999999999957,98,100,2.13,RU,1674041929
108,butaritari,3.0707,172.7902,27.660000000000025,75,37,7.89,KI,1674041447
109,comodoro rivadavia,-45.8667,-67.5,15.920000000000016,94,0,0.0,AR,1674041929
110,greenville,35.6127,-77.3663,10.090000000000032,98,75,0.0,US,1674041929
111,praxedis guerrero,31.3667,-106.0167,4.010000000000048,59,0,5.46,MX,1674041930
112,praia,14.9215,-23.5087,26.30000000000001,57,0,9.77,CV,1674041930
113,moron,-34.6534,-58.6198,24.939999999999998,75,100,4.67,AR,1674041501
114,georgetown,5.4112,100.3354,27.960000000000036,78,20,5.14,MY,1674041237
115,pisco,-13.7,-76.2167,20.57000000000005,94,75,3.09,PE,1674041480
116,ilulissat,69.2167,-51.1,-34.079999999999984,72,1,3.31,GL,1674041448
